73,1895,34,25,27,1216
75,1246,30,18,20,2448
77,475,22,11,22,1787
78,1289,39,27,23,1179
79,1048,39,24,30,1223
81,1121,31,17,17,1345
82,1288,46,34,30,2442
83,857,23,18,17,2178
84,1308,16,10,33,1911
86,1643,29,19,33,895
87,894,34,34,25,1183
89,413,39,29,20,322
92,928,26,13,24,1588
93,1227,34,23,19,254
94,1266,39,28,20,1565
103,110,30,19,10,1128
104,1169,34,27,27,1512
105,701,39,39,22,1107
107,649,22,17,35,1623
109,1272,36,20,28,1224
111,1279,19,14,25,1451
112,1763,44,36,14,967
113,1847,42,26,36,1937
114,1141,27,12,28,942
115,247,33,18,33,1113
116,528,31,21,18,1061
117,938,18,13,30,398
119,684,21,13,32,50
120,1286,30,29,18,2030
121,1984,36,15,10,1724
122,128,21,13,33,1987
124,845,32,22,39,1286
126,648,24,17,15,2312
127,1127,37,26,28,1132
128,821,31,23,30,2341
129,1117,21,14,14,943
131,970,40,40,40,1358
132,734,25,15,22,1045
135,110,35,22,27,2722
136,824,44,19,22,987
138,1183,31,16,39,1923
139,1054,50,26,13,981
145,174,49,32,40,1817
150,819,44,19,36,1442
152,1419,22,19,10,1036
153,1063,46,29,39,1553
154,2178,48,26,29,3000
155,956,27,16,18,1940
158,1656,50,19,18,1123
159,748,46,18,11,2805
160,1093,29,18,28,1514
162,1123,33,25,22,1555
164,1344,31,25,33,2005
168,1262,47,25,40,1920
169,846,25,14,32,3000
170,1163,44,31,24,1538
171,110,29,21,19,1979
175,483,23,15,20,1164
1,556,24,14,15,1557
3,712,33,20,19,944
6,1947,29,26,21,984
7,939,33,18,36,2587
9,570,15,11,25,1996
10,843,46,36,23,1769
13,844,30,19,21,2159
15,920,22,21,22,2521
16,745,31,19,15,1698
20,825,23,16,33,2239
23,322,23,16,31,425
24,1710,35,23,30,2570
26,875,24,14,13,1706
28,1889,31,15,26,1050
29,1856,46,24,31,2231
30,1488,46,36,28,2608
31,974,29,16,31,1664
33,556,37,12,26,965
34,1338,33,15,24,1142
35,1773,47,10,40,1049
36,989,31,26,28,1531
37,934,26,19,15,3000
38,818,43,30,18,559
39,1067,39,25,20,1178
40,1764,24,14,27,1953
41,862,29,22,27,1161
42,907,48,31,33,1037
43,306,38,21,17,2524
44,1041,25,12,28,378
47,1918,40,29,33,2203
48,286,30,13,24,1333
52,954,33,14,23,1596
53,906,22,15,20,1933
57,929,43,19,34,3000
59,1266,26,19,25,2372
62,1468,15,11,29,2137
64,1121,15,12,17,829
65,1092,31,16,13,889
66,1221,27,18,34,1378
67,1039,24,22,29,1198
68,684,29,13,15,1614
71,551,31,19,21,3000
